gen,idx,w_pnl,w_sortino,w_mdd,fitness,eval_pnl,eval_sortino,eval_drawdown,eval_ret_mean
3,16,1.3349,0.8398,0.6213,-3.7766,-0.5426,-3.6348,0.0000,-4.3189
3,17,0.2230,1.4566,1.1708,61.6484,7.5101,50.0000,10.9781,-2.3343
3,18,1.0318,0.7582,0.5039,-7.4050,-0.7640,-3.9072,7.2518,-2.8539
3,19,0.0000,1.0049,1.5086,-15.1130,-6.1211,-15.0393,0.0000,-2.6373
3,20,1.4733,1.0045,0.0000,-16.8228,-4.0572,-10.7967,0.0000,-4.1244
3,21,1.6414,0.8974,0.2394,57.0956,7.4488,50.0000,0.0000,-2.8214
3,22,0.0000,0.9087,0.6325,20.1058,2.6971,28.8082,9.5978,-3.9532
3,23,0.7604,1.1476,0.3518,60.0069,3.7558,50.0000,0.6574,-3.0232
3,24,1.7272,1.0836,0.9570,-11.0663,-0.6423,-6.2436,3.3346,-2.8347
3,25,1.0604,1.3150,0.5206,-5.0754,0.1664,0.6548,11.7410,-5.8500
3,26,0.4954,0.7972,0.2643,43.2079,6.7539,50.0000,0.0000,-2.1628
3,27,1.9903,0.9834,0.0000,-21.3755,-3.6147,-14.4205,0.0000,-2.8824
3,28,0.5558,0.7861,0.7384,37.0505,4.7178,50.0000,6.6067,-2.9645
3,29,1.8664,1.1034,0.0000,-20.2206,-2.0045,-14.9351,0.0000,-4.4042
3,30,1.7359,0.7487,1.0363,-10.8724,0.1029,0.4291,10.9739,-2.0749
3,31,1.4887,0.9046,0.4775,55.5142,7.8187,50.0000,2.8358,-3.0380
3,32,2.0000,1.1984,0.9506,64.4588,2.9219,50.0000,1.3706,-2.6243
3,33,0.6325,1.2773,0.2874,-14.9720,-0.9072,-11.2719,0.0000,-3.0721
3,34,0.5075,1.1641,0.0000,59.3465,2.2469,50.0000,0.0000,-1.9453
3,35,0.6648,1.6618,1.8499,-12.4856,-1.3999,-6.9531,0.0000,-3.3017
3,36,0.1896,1.2778,1.1224,-18.7090,-1.9624,-7.5591,7.7314,-2.4965
3,37,0.5125,0.0000,0.4838,-4.2451,-6.4987,-15.7094,1.8895,-3.5810
3,38,1.6675,1.4001,0.6686,13.9952,0.1028,9.8732,0.0000,-1.9420
3,39,1.3205,1.1749,0.0000,65.8862,5.4096,50.0000,0.0000,-2.6481
3,40,1.8972,1.6038,0.8466,-27.5202,-1.4094,-15.4924,0.0000,-3.4669
3,41,1.8064,1.5632,0.0000,40.9154,1.7992,24.0949,6.9512,-1.7765
3,42,0.9534,0.9206,0.1747,-20.2444,-6.5040,-15.2552,0.0000,-2.1711
3,43,1.9883,1.4454,0.8548,-31.1917,-4.3279,-15.6267,0.0000,-3.6829
3,44,0.3348,0.7602,1.4651,-12.1949,-2.2595,-15.0463,0.0000,-2.0282
3,45,2.0000,1.3772,0.0000,-33.9562,-6.1047,-15.7908,0.0000,-4.2327
3,46,1.6245,0.0000,1.1419,-1.7446,-0.9585,-15.8166,0.1641,-2.4884
3,47,1.4564,0.9605,1.0408,57.4891,6.4990,50.0000,0.0000,-2.1915
4,0,0.3395,1.8068,1.0752,-20.4377,-3.3898,-10.6749,0.0000,-1.9101
4,1,1.6534,1.4152,0.9515,-30.1853,-3.8632,-14.5504,3.3704,-3.4796
4,2,1.9784,1.2880,0.6731,31.0467,1.6268,24.8426,6.1937,-2.3139
4,3,1.4026,1.3589,0.5047,6.6876,0.5105,4.3942,0.0000,-2.9780
4,4,1.3205,1.1749,0.0000,63.6185,3.6924,50.0000,1.0955,-2.3146
4,5,2.0000,1.1984,0.9506,-7.7429,-0.7932,-5.1374,0.0000,-2.9912
4,6,0.2230,1.4566,1.1708,-28.8697,-5.6233,-13.7622,6.4659,-3.4293
4,7,0.7604,1.1476,0.3518,61.8347,5.8554,50.0000,0.0000,-1.9644
4,8,0.5075,1.1641,0.0000,-16.9803,-1.6538,-13.8653,0.0000,-2.5009
4,9,1.4564,0.9605,1.0408,1.4256,0.2419,1.1175,0.0000,-1.5990
4,10,1.5696,1.0936,0.0027,17.5946,1.9083,13.3742,10.2233,-2.6058
4,11,1.6414,0.8974,0.2394,55.1612,6.2703,50.0000,0.0000,-2.6251
4,12,1.4887,0.9046,0.4775,-20.7494,-6.9064,-11.5724,0.0000,-4.7425
4,13,1.5310,0.9196,1.0199,-26.1010,-6.5439,-15.7637,1.5547,-4.6975
4,14,1.1492,0.7203,0.5762,39.3500,3.0959,50.0000,0.3907,-4.0931
4,15,1.6230,1.3460,1.0422,-24.2197,-3.2490,-14.0764,0.0000,-3.9756
4,16,1.7724,0.5539,0.1189,-14.6283,-3.4695,-15.3077,0.0000,-2.6154
4,17,1.3714,0.6186,0.3585,11.4102,2.5616,19.2057,11.1119,-4.3800
4,18,1.0940,0.8189,0.0000,43.2992,2.1534,50.0000,2.7888,-3.0352
4,19,1.6215,1.2135,0.6412,-15.1783,-2.5285,-9.1295,0.0000,-3.3224
4,20,1.3768,1.5671,0.3106,4.8562,1.1447,4.7098,13.2020,-3.9909
4,21,1.7114,0.9780,0.0249,50.7285,1.0677,50.0000,0.0000,-3.3613
4,22,1.5889,1.2082,0.4970,-21.0748,-3.0279,-10.7488,6.5923,-3.2543
4,23,1.6336,0.9958,1.1830,-24.8921,-5.5916,-15.8240,0.0000,-3.3177
4,24,0.8990,1.0868,0.0511,-10.0489,-2.2482,-7.3866,0.0000,-4.4783
4,25,1.9684,0.9715,0.5433,-7.2473,-1.5788,-4.2607,0.0000,-2.4250
4,26,0.4070,1.5210,1.1402,73.4146,6.7393,50.0000,4.7159,-3.2424
4,27,0.4495,1.3016,1.4598,7.2979,0.9309,5.2852,0.0000,-3.2899
4,28,0.3273,1.2951,0.0000,65.5126,2.3205,50.0000,0.0000,-3.3571
4,29,1.2531,0.7449,0.7815,-23.1441,-9.1111,-15.7440,0.0000,-3.3025
4,30,2.0000,1.2593,1.0958,6.1899,0.5262,4.0798,0.0000,-6.2981
4,31,2.0000,1.3697,0.8943,97.1194,3.3167,66.0642,0.0000,-6.8805
4,32,1.2169,1.0785,0.6164,60.4906,5.3967,50.0000,0.0000,-3.3033
4,33,1.0601,1.4768,0.0000,17.1629,1.4165,10.6051,8.8300,-3.2897
4,34,1.7955,1.3483,0.8878,76.7941,5.3909,50.0000,0.3387,-3.4685
4,35,0.8594,1.0884,0.1511,-20.3691,-3.5583,-15.8394,0.4744,-3.8268
4,36,1.3927,1.5233,0.7916,2.3793,0.2940,1.2932,0.0000,-3.4457
4,37,1.7430,1.1066,0.4808,70.5526,8.7347,50.0000,0.0000,-4.0920
4,38,1.5763,1.3715,1.0109,69.2729,3.4977,50.0000,4.7616,-2.7277
4,39,1.5775,0.7114,0.0000,-10.2098,-2.7803,-8.1861,9.6892,-1.8613
4,40,1.2228,1.8454,1.1776,-35.2840,-4.0778,-11.0180,8.4620,-3.9951
4,41,1.5625,1.8396,1.1149,-45.9983,-7.5753,-14.5295,6.6683,-5.7658
4,42,1.7379,0.8091,0.3592,-20.1751,-4.1519,-15.8601,0.3545,-2.4603
4,43,2.0000,1.0499,0.7902,-24.0714,-4.2968,-14.7416,0.0000,-6.0842
4,44,1.2932,1.1619,0.5495,-19.5650,-1.2436,-15.0631,0.8273,-2.0702
4,45,1.3958,0.9202,0.9030,-13.3268,-0.9879,-12.9847,0.0000,-1.8908
4,46,1.4520,0.8174,0.0000,47.2956,4.4264,50.0000,0.0000,-3.3578
4,47,2.0000,1.2400,0.8942,-1.8125,-0.1762,-1.1775,0.0000,-2.9723
5,0,2.0000,1.3697,0.8943,-37.7549,-6.3408,-14.2684,6.1841,-2.4155
5,1,1.7955,1.3483,0.8878,-24.0186,-1.8029,-14.2454,1.7731,-2.5140
5,2,0.4070,1.5210,1.1402,73.5997,3.9104,50.0000,3.5438,-3.4121
5,3,1.7430,1.1066,0.4808,-26.8407,-5.2448,-15.8684,0.2902,-1.4383
5,4,1.5763,1.3715,1.0109,68.5266,3.6278,50.0000,5.7026,-2.4593
5,5,0.3273,1.2951,0.0000,-11.6462,-2.9978,-8.2352,10.3492,-3.4877
